着順,枠,馬,馬名,性齢,斤量,騎手,タイム,着差,通過,単勝,人気,馬体重,調教師,馬主,賞金
,番,番,,,,,,,,,,,,,（万円）
1,8,14,スーパークリーク,牡5,58,武豊,01:59.1,,2003/3/2,4.5,2,520(+6),[西]伊藤修司,木倉誠,"10,300.00"
2,3,4,オグリキャップ,牡5,58,南井克巳,01:59.1,クビ,2007/4/4,1.9,1,496(-2),[西]瀬戸口勉,近藤俊典,"4,100.00"
3,4,5,メジロアルダン,牡5,58,岡部幸雄,01:59.2,クビ,2005/4/4,5.5,3,508(-4),[東]奥平真治,メジロ牧場,"2,600.00"
4,7,11,ヤエノムテキ,牡5,58,西浦勝一,01:59.5,1.3/4,2005/4/4,22.8,6,496(-2),[西]荻野光男,富士,"1,500.00"
5,4,6,キリパワー,牡5,58,大塚栄三,01:59.7,1.1/4,2009/10/10,68.1,13,480(+10),[東]清水利章,本桐牧場,"1,030.00"
6,5,7,イナリワン,牡6,58,柴田政人,01:59.8,クビ,2012/10/7,6.2,4,444(-2),[東]鈴木清,保手浜弘規,
7,8,13,ダイゴウシュール,牡5,58,大崎昭一,02:00.0,1.1/4,2007/7/9,45,9,452(-6),[東]柴田寛,金田至弘,
8,5,8,ランニングフリー,牡7,58,菅原泰夫,02:00.3,1.3/4,2011/10/12,47.5,10,450(0),[東]本郷一彦,藤島泰輔,
9,2,3,ミスターシクレノン,牡5,58,松永幹夫,02:00.3,アタマ,2009/7/10,21.8,5,498(+4),[西]小林稔,藤立啓一,
10,6,10,ウインドミル,牡5,58,蛯沢誠治,02:00.4,クビ,2002/2/2,40.5,8,472(0),[東]久保田敏,齊藤宣勝,
11,7,12,フレッシュボイス,牡7,58,田原成貴,02:00.5,クビ,14-14-13,55.4,12,470(+14),[西]境直行,円城和男,
12,1,1,カイラスアモン,牡6,58,竹原啓二,02:00.5,クビ,2004/7/7,214.8,14,490(-2),[東]松山吉三,アモン,
13,2,2,レジェンドテイオー,牡7,58,郷原洋行,02:00.7,1.1/2,2001/1/1,54.7,11,518(-6),[東]田村駿仁,貞文,
14,6,9,ディクターランド,牡5,58,菅谷正巳,02:02.0,8,13-13-14,35.5,7,444(+10),[西]菅谷禎高,社台レースホース,
