uma,name,jockey,win,pop
1,オグリキャップ,南井克巳,1.3,1
2,ミリオンセンプー,丸山勝秀,55.4,9
3,トウショウマリオ,角田晃一,25.5,5
4,バンブーメモリー,武豊,4.0,2
5,イーグルシャトー,田島良保,72.5,11
6,ルイジアナピット,岡潤一郎,41.7,7
7,ヒデリュウオー,安田隆行,159.7,15
8,カミノテンホー,安達昭夫,188.4,17
9,エイシンハピネス,菅谷正巳,186.4,16
10,メイショウコブラ,本田優,81.7,12
11,ホクトヘリオス,柴田善臣,15.9,3
12,ナルシスノワール,松永幹夫,62.8,10
13,グレートモンテ,猿橋重利,32.3,6
14,ウィニングスマイル,田村正光,55.3,8
15,サンキンハヤテ,田島信行,134.2,14
16,シヨノロマン,河内洋,16.7,4
17,ホリノライデン,村本善之,91.9,13
