着,枠,馬,馬名,性齢,斤量,騎手,タイム,着差,通過,単勝,人,馬体重,調教師,馬主,賞金
順,番,番,,,,,,,,,気,,,,(万円)
,,,,,,,,,,,,,,,
1,1,3,ウィナーズサークル,牡4,57,郷原洋行,02:28.8,,4-8-8-7,7.3,3,478(-4),[東]?松山康久,栗山博,"10,300.00"
2,7,20,リアルバースデー,牡4,57,菅原泰夫,02:28.9,1月2日,4-4-4-3,14,6,460(0),[東]?佐藤林次,社台レースホース,"4,100.00"
3,8,24,サーペンアップ,牡4,57,田村正光,02:28.9,ハナ,24-21-21-19,23.1,11,520(+2),[東]?梶与四松,吉橋計,"2,600.00"
4,4,10,トーワトリプル,牡4,57,増沢末夫,02:29.3,2.1/2,2-2-2-2,15.5,8,494(+2),[東]?柄崎孝,井山健一,"1,500.00"
5,5,14,ロングシンホニー,牡4,57,河内洋,02:29.4,1月2日,8-8-4-5,6,1,458(+4),[西]?小林稔,中井長一,"1,030.00"
6,6,17,ロードリーナイト,牡4,57,横山典弘,02:29.4,ハナ,23-21-19-19,73,21,488(-2),[東]?石栗龍雄,貞文,
7,3,8,マイネルブレーブ,牡4,57,柴田政人,02:29.7,1.3/4,14-11-16-13,6.1,2,480(0),[東]?中村広,サラブレッドクラブ・ラフィアン,
8,8,23,スピークリーズン,牡4,57,大崎昭一,02:30.0,1.3/4,6-3-6-5,37.4,18,436(+2),[東]?尾形充弘,竹崎満,
9,4,11,サクラホクトオー,牡4,57,小島太,02:30.2,1.1/4,3-7-8-7,9.9,5,440(0),[東]?境勝太郎,さくらコマース,
10,7,19,タニノジュニアス,牡4,57,武豊,02:30.4,1.1/4,14-11-16-19,15.4,7,462(-6),[西]?古川平,谷水雄三,
11,8,22,リュウカムイ,牡4,57,田中清隆,02:30.4,アタマ,21-21-19-16,216.2,24,450(-2),[東]?今津福松,田中ふさ枝,
12,2,4,オースミシャダイ,牡4,57,松永昌博,02:30.4,アタマ,6-8-8-7,33.4,16,458(0),[西]?武邦彦,山路秀則,
13,2,6,ワンダーナルビー,牡4,57,加藤和宏,02:30.5,1月2日,16-17-16-16,15.7,9,478(+6),[東]?久恒久夫,小畑安雄,
14,6,16,ドクタースパート,牡4,57,的場均,02:30.5,アタマ,16-18-11-7,8.7,4,426(-8),[東]?柄崎孝,松岡悟,
15,5,13,ルーミナススマイル,牡4,57,安田富男,02:30.7,3月4日,8-11-13-16,27.9,14,486(-2),[東]?尾形充弘,竹崎満,
16,1,1,サクラソウルオー,牡4,57,坂井千明,02:30.8,1月2日,11-19-24-22,127.5,23,458(+4),[東]?内藤一雄,さくらコマース,
17,2,5,サツキオアシス,牡4,57,横山雄一,02:31.1,1.3/4,20-19-23-22,35.5,17,548(-2),[西]?谷八郎,北村政也,
18,1,2,マイネルムート,牡4,57,蛯沢誠治,02:31.1,アタマ,1-1-1-1,84.5,22,496(-6),[東]?栗田博憲,サラブレッドクラブ・ラフィアン,
19,5,15,アオミキャップ,牡4,57,田島良保,02:31.3,1,16-11-11-13,33.3,15,488(0),[西]?谷八郎,原田房太郎,
20,3,9,トリックスター,牡4,57,中舘英二,02:31.3,ハナ,21-21-21-22,27.5,13,474(0),[東]?松山康久,社台レースホース,
21,7,21,ニシノサムタイム,牡4,57,南井克巳,02:31.3,クビ,11-4-6-7,69.7,20,432(+4),[西]?長浜博之,西山正行,
22,3,7,ロンドンボーイ,牡4,57,柴田善臣,02:31.4,1月2日,8-11-13-7,18,10,446(-4),[東]?藤沢和雄,高野稔,
23,4,12,タマモベイジュ,牡4,57,田原成貴,02:31.8,2.1/2,11-4-3-3,23.8,12,488(+10),[西]?小原伊佐,タマモ,
24,6,18,ゴーゴーキング,牡4,57,竹原啓二,02:32.0,1.1/4,16-11-13-13,48.2,19,484(-10),[東]?松山康久,西田鉄男,
