着,枠,馬,馬名,性齢,斤量,騎手,タイム,着差,通過,単勝,人,馬体重,調教師,馬主,賞金
順,番,番,,,,,,,,,気,,,,(万円)
,,,,,,,,,,,,,,,
1,8,15,イナリワン,牡6,56,柴田政人,02:31.7,,12-12-9-5,16.7,4,448(+2),[東]?鈴木清,保手浜弘規,"10,300.00"
2,3,4,スーパークリーク,牡5,57,武豊,02:31.7,ハナ,2-3-3-3,3.1,2,522(-2),[西]?伊藤修司,木倉誠,"4,100.00"
3,7,12,サクラホクトオー,牡4,55,小島太,02:32.1,2.1/2,12-12-12-7,12.6,3,450(+4),[東]?境勝太郎,さくらコマース,"2,600.00"
4,6,9,ランニングフリー,牡7,56,菅原泰夫,02:32.3,1.1/4,6-6-4-3,34.8,9,458(+6),[東]?本郷一彦,藤島泰輔,"1,500.00"
5,1,1,オグリキャップ,牡5,57,南井克巳,02:32.5,1,2-2-2-1,1.8,1,496(0),[西]?瀬戸口勉,近藤俊典,"1,030.00"
6,8,14,ヤエノムテキ,牡5,57,西浦勝一,02:33.0,3,14-14-16-11,34,8,496(0),[西]?荻野光男,富士,
7,7,11,フレッシュボイス,牡7,56,郷原洋行,02:33.1,1/2,8-8-4-5,48.1,11,464(0),[西]?境直行,円城和男,
8,8,16,スルーオダイナ,牡6,56,岡部幸雄,02:33.2,クビ,14-14-15-13,35,10,454(+2),[東]?矢野進,社台レースホース,
9,4,5,キリパワー,牡5,57,大塚栄三,02:33.4,1.1/2,16-16-14-13,49,12,482(0),[東]?清水利章,本桐牧場,
10,5,8,カシマウイング,牡7,56,東信二,02:33.6,1.1/4,8-8-9-7,103.8,16,480(+2),[東]?飯塚好次,松浦安雄,
11,2,3,ダイナカーペンター,牡6,56,増沢末夫,02:33.7,3/4,1-1-1-2,18,5,470(-2),[西]?増本豊,社台レースホース,
12,6,10,ハワイアンコーラル,牡5,57,大崎昭一,02:34.0,2,8-8-12-7,90.2,15,502(0),[東]?中村広,大関,
13,7,13,ミスターシクレノン,牡5,57,松永幹夫,02:34.1,クビ,4-3-7-11,21.8,6,498(0),[西]?小林稔,藤立啓一,
14,4,6,ドクタースパート,牡4,55,的場均,02:34.4,2,6-6-7-13,59.4,13,466(+6),[東]?柄崎孝,松岡悟,
15,2,2,ミスターブランディ,牡8,56,津留千彰,02:34.4,ハナ,4-3-4-7,79.7,14,478(+6),[東]?大和田稔,吉田善哉,
16,5,7,リアルバースデー,牡4,55,河内洋,02:34.5,3/4,8-8-9-16,26,7,464(+6),[東]?佐藤林次,社台レースホース,
