馬番1,馬番2,馬単(1→2),馬単(2→1),馬連
1,2,42.3,97.1,31.4
1,3,19.5,44.0,14.4
1,4,3.1,5.8,2.1
1,5,55.4,127.4,41.2
1,6,31.8,72.7,23.6
1,7,121.9,282.3,90.8
1,8,143.8,333.2,107.2
1,9,142.3,329.7,106.0
1,10,62.4,143.8,46.4
1,11,12.1,26.9,8.9
1,12,47.9,110.2,35.6
1,13,24.7,56.0,18.3
1,14,42.2,96.9,31.4
1,15,102.5,237.0,76.3
1,16,12.8,28.3,9.4
1,17,70.2,161.9,52.2
2,3,1903.8,1873.5,1007.2
2,4,298.6,246.6,144.1
2,5,5412.8,5430.1,2891.4
2,6,3113.3,3099.4,1656.7
2,7,11923.0,12028.6,6387.0
2,8,14065.7,14200.3,7537.4
2,9,13916.4,14049.0,7457.3
2,10,6099.6,6126.2,3260.2
2,11,1187.1,1147.1,622.3
2,12,4688.6,4696.1,2502.6
2,13,2411.5,2388.1,1279.9
2,14,4128.6,4128.5,2201.9
2,15,10019.2,10099.0,5364.8
2,16,1246.8,1207.6,654.3
2,17,6861.1,6898.1,3669.1
3,4,135.3,113.5,65.8
3,5,2451.8,2499.4,1320.2
3,6,1410.2,1426.6,756.5
3,7,5400.8,5536.6,2916.2
3,8,6371.4,6536.2,3441.5
3,9,6303.7,6466.6,3404.9
3,10,2763.0,2819.8,1488.6
3,11,537.7,528.0,284.2
3,12,2123.8,2161.5,1142.7
3,13,1092.3,1099.2,584.4
3,14,1870.2,1900.3,1005.4
3,15,4538.4,4648.4,2449.5
3,16,564.8,555.9,298.8
3,17,3107.9,3175.1,1675.3
4,5,322.7,392.1,188.8
4,6,185.6,223.8,108.2
4,7,710.9,868.5,417.0
4,8,838.7,1025.3,492.1
4,9,829.8,1014.4,486.8
4,10,363.7,442.3,212.9
4,11,70.8,82.8,40.7
4,12,279.6,339.1,163.4
4,13,143.8,172.4,83.6
4,14,246.2,298.1,143.8
4,15,597.4,729.2,350.3
4,16,74.3,87.2,42.8
4,17,409.1,498.1,239.6
5,6,4087.2,4056.1,2171.5
5,7,15653.1,15741.3,8371.8
5,8,18466.1,18583.4,9879.8
5,9,18270.1,18385.4,9774.7
5,10,8007.9,8017.2,4273.3
5,11,1558.4,1501.2,815.6
5,12,6155.4,6145.6,3280.2
5,13,3165.9,3125.2,1677.6
5,14,5420.3,5402.9,2886.2
5,15,13153.7,13216.1,7031.9
5,16,1636.9,1580.4,857.7
5,17,9007.6,9027.3,4809.3
6,7,8934.6,9054.0,4796.7
6,8,10540.2,10688.7,5660.8
6,9,10428.3,10574.8,5600.5
6,10,4570.8,4611.3,2448.5
6,11,889.5,863.4,467.4
6,12,3513.4,3534.8,1879.5
6,13,1807.1,1797.5,961.2
6,14,3093.8,3107.6,1653.7
6,15,7507.9,7601.6,4029.0
6,16,934.3,909.0,491.5
6,17,5141.4,5192.2,2755.6
7,8,40905.8,40934.8,21824.2
7,9,40471.5,40498.6,21592.0
7,10,17738.9,17659.9,9439.6
7,11,3452.2,3306.7,1801.5
7,12,13635.3,13537.2,7245.9
7,13,7013.0,6884.1,3705.6
7,14,12006.8,11901.2,6375.3
7,15,29137.8,29112.0,15533.3
7,16,3625.9,3481.2,1894.5
7,17,19953.5,19884.9,10623.5
8,9,47778.7,47776.6,25481.4
8,10,20941.6,20833.6,11140.0
8,11,4075.5,3900.9,2126.0
8,12,16097.1,15970.0,8551.1
8,13,8279.2,8121.2,4373.1
8,14,14174.7,14040.0,7523.7
8,15,34398.6,34343.7,18331.3
8,16,4280.6,4106.8,2235.7
8,17,23556.1,23458.4,12537.2
9,10,20718.4,20612.5,11021.5
9,11,4032.1,3859.5,2103.4
9,12,15925.5,15800.4,8460.1
9,13,8191.0,8035.0,4326.5
9,14,14023.6,13890.9,7443.7
9,15,34032.0,33979.1,18136.3
9,16,4235.0,4063.2,2211.9
9,17,23305.1,23209.4,12403.8
10,11,1758.3,1691.7,919.6
10,12,6944.5,6925.4,3698.6
10,13,3571.8,3521.8,1891.5
10,14,6115.2,6088.5,3254.3
10,15,14840.1,14893.2,7928.9
10,16,1846.7,1780.9,967.1
10,17,10162.5,10172.8,5422.7
11,12,1300.3,1347.8,705.9
11,13,668.8,685.4,361.1
11,14,1145.0,1184.9,621.1
11,15,2778.7,2898.4,1513.2
11,16,345.8,346.6,184.6
11,17,1902.8,1979.8,1035.0
12,13,2738.0,2707.1,1452.0
12,14,4687.6,4680.0,2498.0
12,15,11375.6,11447.9,6086.2
12,16,1415.6,1368.9,742.3
12,17,7790.0,7819.5,4162.5
13,14,2383.8,2407.1,1277.5
13,15,5784.9,5888.0,3112.5
13,16,719.9,704.1,379.7
13,17,3961.5,4021.8,2128.8
14,15,10000.9,10080.7,5355.0
14,16,1244.5,1205.5,653.2
14,17,6848.6,6885.6,3662.4
15,16,3044.3,2925.3,1591.3
15,17,16752.6,16709.8,8923.3
16,17,2003.3,2079.4,1088.3
