着順,枠,馬,馬名,性齢,斤量,騎手,タイム,着差,通過,単勝,人気,馬体重,調教師,馬主,賞金
,番,番,,,,,,,,,,,,,（万円）
1,7,14,バンブーメモリー,牡5,57,岡部幸雄,01:34.3,,15-13,18.7,10,494(+2),[西]武邦彦,竹田辰一,"7,500.00"
2,6,11,ダイゴウシュール,牡5,57,大崎昭一,01:34.5,1.1/2,10-10,23.1,12,458(+6),[東]柴田寛,金田至弘,"3,000.00"
3,5,9,ミスティックスター,牡7,57,山田和広,01:35.0,3,8-5,11.9,6,484(+2),[西]坪正直,山本衛,"1,900.00"
4,6,12,ホクトヘリオス,牡6,57,柴田善臣,01:35.1,1/2,16-16,3.6,1,472(0),[東]中野隆良,金森森商事,"1,100.00"
5,1,1,ハワイアンコーラル,牡5,57,増沢末夫,01:35.3,1.1/2,7-5,31.7,14,498(+2),[東]中村広,大関,750
6,1,2,パッシングショット,牝5,55,南井克巳,01:35.3,アタマ,6-4,14,8,462(+2),[西]橋田満,森本忠治,
7,3,6,ウィニングスマイル,牡7,57,田村正光,01:35.8,3,9-10,12.7,7,434(0),[東]矢野照正,白井フサ,
8,4,8,コーセイ,牝6,55,鈴木寿,01:35.8,ハナ,10-8,16.7,9,454(+10),[東]尾形盛次,アイ・ケイ・テイ・オーナーズ,
9,4,7,アイビートウコウ,牡5,57,吉沢宗一,01:36.0,1,12-12,48.9,15,440(-10),[東]嶋田功,渡辺喜八郎,
10,3,5,リンドホシ,牡5,57,的場均,01:36.2,1.1/4,2-2,7,2,502(-4),[東]佐藤林次,デルマークラブ,
10,5,10,ランドヒリュウ,牡8,57,河内洋,01:36.2,同着,17-16,9.5,5,510(+10),[西]小林稔,木村善一,
12,8,17,ミスターボーイ,牡8,57,村本善之,01:36.5,2,2-5,26.1,13,450(-8),[西]中尾正,小原巖,
13,7,13,トウショウマリオ,牡5,57,柴田政人,01:36.7,1.1/4,13-13,7.5,4,468(+2),[東]奥平真治,トウショウ産業,
14,8,16,ダイナアルテミス,牝6,55,安田富男,01:36.8,1/2,14-15,77.6,16,446(-6),[東]松山吉三,社台レースホース,
15,7,15,ケープポイント,牡7,57,柏崎正次,01:37.7,5,1-1,21.2,11,484(-2),[東]奥平真治,ハイランド牧場,
16,2,4,サクラチヨノオー,牡5,57,小島太,01:37.7,ハナ,2-2,7.2,3,476(+12),[東]境勝太郎,さくらコマース,
17,2,3,タケデンジャスミン,牝5,55,成島正規,01:39.0,8,2-8,203.6,17,450(+4),[東]田子冬樹,武市弘,
取,8,18,ミスターホーショー,牡5,57,田中清隆,,,,---,,計不,[東]野平祐二,渡辺幸雄,
