着順,枠,馬,馬名,性齢,斤量,騎手,タイム,着差,通過,単勝,人気,馬体重,調教師,馬主,賞金
,番,番,,,,,,,,,,,,,（万円）
1,1,1,オグリキャップ,牡5,57,南井克巳,01:34.6,,5-5,1.3,1,496(0),[西]瀬戸口勉,近藤俊典,"7,500.00"
2,3,4,バンブーメモリー,牡5,57,武豊,01:34.6,ハナ,8-5,4,2,500(+4),[西]武邦彦,竹田辰一,"3,000.00"
3,6,11,ホクトヘリオス,牡6,57,柴田善臣,01:35.3,4,14-13,15.9,3,468(+4),[東]中野隆良,金森森商事,"1,900.00"
4,4,6,ルイジアナピット,牝5,55,岡潤一郎,01:35.6,2,13-13,41.7,7,428(-10),[西]中村好夫,大島秀元,"1,100.00"
5,8,15,サンキンハヤテ,牡6,57,田島信行,01:35.8,1,16-13,134.2,14,434(-6),[西]橋口弘次,河原サキノ,750
6,4,5,イーグルシャトー,牝7,55,田島良保,01:35.9,1/2,10-10,72.5,11,500(0),[西]小原伊佐,中村和夫,
7,5,8,カミノテンホー,牝4,53,安達昭夫,01:36.0,1/2,17-17,188.4,17,468(0),[西]工藤嘉見,山本幸弘,
8,5,7,ヒデリュウオー,牡6,57,安田隆行,01:36.0,クビ,15-16,159.7,15,498(0),[西]大沢真,梅沢光行,
9,6,10,メイショウコブラ,牡4,55,本田優,01:36.3,1.3/4,10-9,81.7,12,542(+2),[西]高橋直,松本好雄,
10,8,16,シヨノロマン,牝5,55,河内洋,01:36.4,3/4,8-5,16.7,4,498(+4),[西]庄野穂積,庄野昭彦,
11,7,13,グレートモンテ,牡5,57,猿橋重利,01:36.5,クビ,2-2,32.3,6,526(0),[西]高橋成忠,野崎龍一,
12,8,17,ホリノライデン,牡5,57,村本善之,01:36.5,クビ,2-2,91.9,13,528(-2),[西]目野哲也,堀内正男,
13,2,3,トウショウマリオ,牡5,57,角田晃一,01:36.9,2.1/2,2-1,25.5,5,464(+4),[東]奥平真治,トウショウ産業,
14,7,12,ナルシスノワール,牡4,55,松永幹夫,01:36.9,ハナ,5-5,62.8,10,466(0),[西]田之上勲,粟田攻,
15,7,14,ウィニングスマイル,牡7,57,田村正光,01:37.2,1.3/4,10-10,55.3,8,426(0),[東]矢野照正,白井フサ,
16,6,9,エイシンハピネス,牝6,55,菅谷正巳,01:37.6,2.1/2,5-10,186.4,16,416(-6),[西]湯浅三郎,平井豊光,
17,2,2,ミリオンセンプー,牡6,57,丸山勝秀,01:38.3,4,1/2,55.4,9,464(+6),[西]増本豊,ミリオンサラブレッドクラブ,
